TermAndYearTaken,Year,DRNO,TIMEOCC,LOCATION
Central,BURGLARY FROM VEHICLE,140101169,2200,              9TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119668,150,              7TH                          ST
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140119674,430,  200      E  6TH                          ST
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140119681,200,  300      S  ALAMEDA                      ST
Central,"THEFT, PERSON",140119684,430,              7TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119687,950,              17TH                         ST
Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140119688,1010,  800      S  MAIN                         ST
Central,TRAFFIC DR #,140119694,950,              HOPE                         ST
Central,COUNTERFEIT,140119695,1420, 1000         MAPLE                        AV
Central,ROBBERY,140119696,1120,  400      S  BROADWAY
Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),140119697,1245,  600      E  9TH                          ST
Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140119698,1200,  300      S  MAIN                         ST
Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,140119699,1200,  300      S  MAIN                         ST
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140119708,1815,  500      E  6TH                          ST
Central,BURGLARY FROM VEHICLE,140119709,1545,  800      W  OLYMPIC                      BL
Central,ROBBERY,140119710,1800,  600      S  SAN PEDRO                    ST
Central,THEFT PLAIN - PETTY ($950 & UNDER),140119711,1300,  200         WINSTON                      ST
Central,THEFT PLAIN - PETTY ($950 & UNDER),140119712,830,  100      S  LOS ANGELES                  ST
Central,THEFT PLAIN - PETTY ($950 & UNDER),140119713,1255, 1400      S  GRAND                        AV
Central,ROBBERY,140119715,2015,  200      W  6TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119721,2015,              HILL
Central,BATTERY - SIMPLE ASSAULT,140119726,1815,              7TH
Central,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140119736,1745,  200      W  6TH                          ST
Central,BATTERY - SIMPLE ASSAULT,140119738,1815,  600      W  9TH                          ST
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140119739,1630,  600      S  SAN PEDRO                    ST
Central,BURGLARY,140119745,2240,Invest Cont
Central,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140119748,1335,  800      S  FIGUEROA                     ST
Central,TRAFFIC DR #,140119749,1100,              MAIN
Central,BURGLARY,140119782,1530,  300      W  2ND                          ST
Rampart,BURGLARY,140200732,30,  700         MALTMAN                      AV
Rampart,TRAFFIC DR #,140216309,430,              3RD                          ST
Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,140216311,45, 1000         HELIOTROPE                   DR
Rampart,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140216312,530, 1100      S  WESTLAKE                     AV
Rampart,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140216313,500, 1900      W  3RD                          ST
Rampart,TRAFFIC DR #,140216317,820,              WESTLAKE
Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140216318,130,              6TH
Rampart,BATTERY - SIMPLE ASSAULT,140216320,1230, 1000         HYPERION                     AV
Rampart,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",140216325,5, 2700         GLASSELL                     ST
Rampart,ROBBERY,140216326,315,              6TH                          ST
Rampart,TRAFFIC DR #,140216331,1800,              MIRAMAR                      ST
Rampart,TRAFFIC DR #,140216332,2100,              BEVERLY
Rampart,TRAFFIC DR #,140216333,2210,              MARION                       AV
Rampart,BATTERY WITH SEXUAL CONTACT,140216335,1000,  400         WITMER                       ST
Rampart,TRAFFIC DR #,140216341,2115,              JAMES M WOOD
Rampart,TRAFFIC DR #,140216344,610,              VIRGIL
Rampart,TRAFFIC DR #,140216345,2225,              SANTA MONICA                 BL
Rampart,TRAFFIC DR #,140216346,2100,              BEVERLY                      BL
Rampart,BATTERY - SIMPLE ASSAULT,140216347,1830,  200      N  BOYLSTON                     ST
Rampart,ROBBERY,140216351,2200,              CONNECTICUT                  ST
Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140216355,2130, 2700         BEVERLY                      BL
Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,140216356,1210,  600         IMOGEN                       AV
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140216361,1720, 1400      S  BONNIE BRAE                  ST
Rampart,VEHICLE - STOLEN,140216363,2100, 1000         GRAND VIEW                   ST
Rampart,VIOLATION OF COURT ORDER,140216371,1830,  500      S  RAMPART                      BL
Rampart,TRAFFIC DR #,140216373,2100,              HARTFORD
Rampart,VEHICLE - STOLEN,140216374,2230,  800         GREEN                        AV
Rampart,VEHICLE - STOLEN,140216381,1,  700      S  BIXEL                        ST
Rampart,BURGLARY FROM VEHICLE,140216383,2300,  800         SAYRE                        LN
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140216388,1830,              MIDDLEBURY
Rampart,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140216389,1530,  200      N  BURLINGTON                   AV
Rampart,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140216393,1900,  400         WITMER                       ST
Rampart,BURGLARY FROM VEHICLE,140216400,2000, 1400         ALVARADO                     TR
Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140216413,2100,  400      S  BONNIE BRAE                  ST
Rampart,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140216419,2300, 1100      S  WESTLAKE                     AV
Rampart,BIKE - STOLEN,140216421,600,  400      N  HOOVER                       ST
Southwest,ROBBERY,140301000,225,           S  VERMONT                      AV
Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140301004,830,              MONTCLAIR                    ST
Southwest,VEHICLE - STOLEN,140318155,100, 2900         9TH                          AV
Southwest,OTHER MISCELLANEOUS CRIME,140318162,100,              ADAMS
Southwest,TRAFFIC DR #,140318171,1630,              MARTIN LUTHER KING JR        BL
Southwest,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140318173,1115, 2800         VINEYARD                     AV
Southwest,THEFT PLAIN - PETTY ($950 & UNDER),140318175,1410, 4000         CRENSHAW                     BL
Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140318179,2055, 1200      W  37TH                         PL
Southwest,ROBBERY,140318180,1400, 2300      W  23RD                         ST
Southwest,BURGLARY,140318181,30, 2600         HILLCREST                    DR
Southwest,BURGLARY,140318182,200, 2600         HILLCREST                    DR
Southwest,"THEFT, PERSON",140318188,630,              CRENSHAW
Southwest,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140318189,2215, 4200      S  WESTERN                      AV
Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140318190,829, 4200         MONTCLAIR                    ST
Southwest,BATTERY - SIMPLE ASSAULT,140318191,930, 4200      S  VAN NESS                     AV
Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140318193,300, 4700         RODEO                        LN
Southwest,BATTERY - SIMPLE ASSAULT,140318202,2000, 3400         ALSACE                       AV
Southwest,BATTERY - SIMPLE ASSAULT,140318203,1300,              BROWNING
Southwest,BATTERY - SIMPLE ASSAULT,140318204,500, 2200      W  36TH                         ST
Southwest,BRANDISH WEAPON,140318205,2320,  600      W  35TH                         PL
Southwest,TRAFFIC DR #,140318211,1800,              VERMONT                      AV
Southwest,TRAFFIC DR #,140318213,1620,              JEFFERSON
Southwest,TRAFFIC DR #,140318216,1810,              WESTERN
Southwest,TRAFFIC DR #,140318217,1735,              ADAMS
Southwest,BURGLARY FROM VEHICLE,140318219,1330,              41ST                         ST
Southwest,TRAFFIC DR #,140318220,1500,              FLOWER
Southwest,TRAFFIC DR #,140318221,1915,              24TH
Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140318227,1700, 3400         CHESAPEAKE                   AV
Southwest,BURGLARY FROM VEHICLE,140318243,1920, 3600      W  MARTIN LUTHER KING JR        BL
Southwest,BURGLARY FROM VEHICLE,140318245,1500, 3400         ARLINGTON                    AV
Southwest,BURGLARY FROM VEHICLE,140318247,2330, 1700      W  42ND                         ST
Southwest,THEFT PLAIN - PETTY ($950 & UNDER),140318249,1145, 3500      S  LA CIENEGA                   BL
Southwest,THEFT PLAIN - PETTY ($950 & UNDER),140318254,1145, 2200      S  BUDLONG                      AV
Southwest,CRIMINAL THREATS - NO WEAPON DISPLAYED,140318258,1136, 3700      S  NORMANDIE                    AV
Southwest,BURGLARY FROM VEHICLE,140318312,2215, 4200      S  WESTERN                      AV
Southwest,VEHICLE - STOLEN,140318316,2100,  400      S  BUDLONG                      AV
Hollenbeck,BURGLARY,140400954,35, 1000      N  MISSION                      RD
Hollenbeck,TRAFFIC DR #,140413262,1435,              CHICAGO
Hollenbeck,VEHICLE - STOLEN,140413263,1300, 2900      N  MAIN                         ST
Hollenbeck,VEHICLE - STOLEN,140413264,1600,  200      N  BREED                        ST
Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140413266,1245, 3500         WHITTIER                     BL
Hollenbeck,VEHICLE - STOLEN,140413267,800, 1900         NEW JERSEY                   ST
Hollenbeck,TRAFFIC DR #,140413268,1755,              EDNA                         ST
Hollenbeck,VEHICLE - STOLEN,140413272,1700,              DACOTAH
Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140413278,1130, 2100      E  CESAR E CHAVEZ               AV
Hollenbeck,BIKE - STOLEN,140413279,1300,              CESAR E CHAVEZ               AV
Hollenbeck,BURGLARY FROM VEHICLE,140413280,430,  200      N  CHICAGO                      ST
Hollenbeck,TRAFFIC DR #,140413282,810,              ATLANTIC                     BL
Hollenbeck,BATTERY - SIMPLE ASSAULT,140413284,1820,              1ST
Hollenbeck,BATTERY - SIMPLE ASSAULT,140413285,1820,              1ST                          ST
Hollenbeck,BATTERY - SIMPLE ASSAULT,140413286,1820,              1ST                          ST
Hollenbeck,VIOLATION OF RESTRAINING ORDER,140413288,2200, 3600         STOCKBRIDGE                  AV
Hollenbeck,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140413293,2150, 4600         HUNTINGTON DR
Hollenbeck,VEHICLE - STOLEN,140413302,2200, 3400      E  3RD                          ST
Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140413303,1930, 4000         PORTOLA                      AV
Hollenbeck,BURGLARY,140413352,1400, 3400         UNION PACIFIC                AV
Harbor,KIDNAPPING,140501089,1,              EUBANK
Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140501090,900,              2ND                          ST
Harbor,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140501091,1625, 1600      W  208TH                        ST
Harbor,BURGLARY,140501095,1800, 1000         EUBANK                       AV
Harbor,BOAT - STOLEN,140513805,530,  700         SHORE                        RD
Harbor,VEHICLE - STOLEN,140513815,1000, 3600         STEPHEN M WHITE              DR
Harbor,TRAFFIC DR #,140513825,1440,              SANTA CRUZ                   ST
Harbor,VEHICLE - STOLEN,140513829,1800,              MARINE
Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,140513830,700, 3400         PECK                         AV
Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,140513831,900,  400         WILMINGTON                   BL
Harbor,THEFT PLAIN - PETTY ($950 & UNDER),140513833,5,   00         BERTH
Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140513834,2230,  700         MAR VISTA                    AV
Harbor,BATTERY - SIMPLE ASSAULT,140513837,2145,              AVALON                       BL
Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",140513838,800,  600      W  2ND                          ST
Harbor,VIOLATION OF COURT ORDER,140513839,2359,              NEPTUNE                      AV
Harbor,TRAFFIC DR #,140513841,1815,              CENTRE                       ST
Harbor,TRAFFIC DR #,140513842,130,              9TH                          ST
Harbor,BURGLARY,140513843,253, 2000      S  PACIFIC                      AV
Harbor,VEHICLE - STOLEN,140513844,2300,20900      S  BRIGHTON                     AV
Harbor,VEHICLE - STOLEN,140513845,2200, 1700      W  247TH                        PL
Harbor,TRAFFIC DR #,140513846,2300,              MARINE                       AV
Harbor,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140513850,1830, 1600         WILMINGTON                   BL
Harbor,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140513851,2100, 1400         RAVENNA                      AV
Harbor,BURGLARY FROM VEHICLE,140513860,2345, 1300         WILMINGTON                   BL
Harbor,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140513862,2150,  900         HAWAIIAN                     AV
Harbor,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140513867,2220, 1000         NEPTUNE                      AV
Harbor,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140513875,2330,  800      W  29TH                         ST
Harbor,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140513897,1600, 1400         BRETT                        PL
Hollywood,TRAFFIC DR #,140617850,225,              HOLLYWOOD                    BL
Hollywood,"THEFT, PERSON",140617851,145,              LAS PALMAS
Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),140617859,133, 1700         VINE                         ST
Hollywood,BATTERY - SIMPLE ASSAULT,140617860,230,              SUNSET
Hollywood,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140617869,350, 1500      N  HAYWORTH                     AV
Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),140617872,1115, 5600      W  SUNSET                       BL
Hollywood,ROBBERY,140617873,1115,              HOLLYWOOD                    BL
Hollywood,BATTERY - SIMPLE ASSAULT,140617878,1140, 6800         HOLLYWOOD                    BL
Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),140617879,1745, 7000         HOLLYWOOD                    BL
Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),140617880,1420,              HOLLYWOOD
Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",140617882,1550,              WESTERN
Hollywood,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140617886,1440, 6200      W  SUNSET                       BL
Hollywood,TRAFFIC DR #,140617888,1130, 2600         HARLESDEN                    CT
Hollywood,THEFT PLAIN - PETTY ($950 & UNDER),140617891,1745, 7000         HOLLYWOOD                    BL
Hollywood,BURGLARY,140617892,330, 7000         HOLLYWOOD                    BL
Hollywood,BURGLARY,140617893,1500, 1500      N  GORDON                       ST
Hollywood,BURGLARY,140617895,400, 5900         FRANKLIN                     AV
Hollywood,TRAFFIC DR #,140617904,2225,              ARGYLE
Hollywood,BATTERY - SIMPLE ASSAULT,140617908,1700,              SANTA MONICA                 BL
Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140617911,500,              BRONSON
Hollywood,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140617918,2130, 5500         HAROLD                       WY
Hollywood,BURGLARY FROM VEHICLE,140617927,2100, 6600         FOUNTAIN                     AV
Hollywood,BURGLARY FROM VEHICLE,140617959,1830, 1900         TAMARIND                     AV
Hollywood,BURGLARY,140617967,1830, 6500         FOUNTAIN                     AV
Hollywood,BURGLARY FROM VEHICLE,140617971,1700, 2300      N  HIGHLAND                     AV
Wilshire,OTHER MISCELLANEOUS CRIME,140701067,1830, 8500         BEVERLY                      BL
Wilshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),140701068,1845,              CRENSHAW
Wilshire,TRAFFIC DR #,140713029,150,              WEST                         BL
Wilshire,BURGLARY,140713031,200, 1400         SPAULDING                    AV
Wilshire,TRAFFIC DR #,140713034,125,              MELROSE                      AV
Wilshire,TRAFFIC DR #,140713035,210,              WILSHIRE                     BL
Wilshire,TRAFFIC DR #,140713058,1230,              VENICE                       BL
Wilshire,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140713064,1025,  500      N  EDINBURGH                    AV
Wilshire,OTHER MISCELLANEOUS CRIME,140713070,700, 2300      S  REDONDO                      BL
Wilshire,BATTERY - SIMPLE ASSAULT,140713072,1430, 7600         BEVERLY                      BL
Wilshire,TRAFFIC DR #,140713076,2300,              FAIRFAX                      AV
Wilshire,VEHICLE - STOLEN,140713077,1700, 7300         CLINTON                      ST
Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140713079,2120,              LA BREA                      AV
Wilshire,BURGLARY,140713080,1430, 1500      S  GENESEE                      AV
Wilshire,SPOUSAL (COHAB) ABUSE - AGGRAVATED ASSAULT,140713081,2000, 1200      S  PLYMOUTH                     BL
Wilshire,TRAFFIC DR #,140713084,1700, 4600      W  17TH                         ST
Wilshire,"BURGLARY, ATTEMPTED",140713087,1740, 3200      W  17TH                         ST
Wilshire,BURGLARY,140713092,1000, 2300      S  HAUSER                       BL
Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140713093,1430, 1500      S  HAYWORTH                     AV
Wilshire,THEFT FROM MOTOR VEHICLE - PETTY ($950.01 & OVER),140713094,2250, 7000         BEVERLY                      BL
Wilshire,CHILD ENDANGERMENT/NEG.,140713095,1100, 1200      S  BURNSIDE                     AV
Wilshire,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140713100,2030, 1100         MEADOWBROOK                  AV
Wilshire,TRAFFIC DR #,140713104,1745,              3RD
Wilshire,BURGLARY,140713110,2030, 1400         ELLSMERE                     AV
Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140713127,1900, 2000      S  DUNSMUIR                     AV
Wilshire,TRAFFIC DR #,140713149,1830,              PICO                         BL
West LA,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140801180,2200, 1500      S  HOLT                         AV
West LA,TRAFFIC DR #,140812670,1230,              BELOIT                       AV
West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140812672,220, 3300         BAGLEY                       AV
West LA,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140812688,250, 1600         CAMDEN                       AV
West LA,THEFT PLAIN - PETTY ($950 & UNDER),140812692,1710, 2200         SAWTELLE                     BL
West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",140812700,307,10900         ROCHESTER                    AV
West LA,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),140812702,1400,10200         SANTA MONICA                 BL
West LA,TRESPASSING,140812705,930,11600         WILSHIRE                     BL
West LA,TRAFFIC DR #,140812708,1505,              EXPOSITION                   BL
West LA,TRAFFIC DR #,140812709,900,              WILSHIRE                     BL
West LA,TRAFFIC DR #,140812712,1510,              SUNSET                       BL
West LA,TRAFFIC DR #,140812713,2145,              WILKINS                      AV
West LA,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140812716,900, 1400      S  SALTAIR                      AV
West LA,THEFT PLAIN - PETTY ($950 & UNDER),140812725,1105,17300      W  SUNSET                       BL
West LA,BURGLARY,140812730,1700, 8800         VENICE                       BL
West LA,TRAFFIC DR #,140812734,2340,              ROBERTSON                    BL
West LA,VEHICLE - STOLEN,140812742,1830,10900         CHALON                       RD
West LA,TRAFFIC DR #,140812745,1545,              IOWA                         AV
West LA,VANDALISM - MISDEAMEANOR ($399 OR UNDER),140812748,1200,  800      S  BRINGHAM                     AV
West LA,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),140812761,800,10800      W  PICO                         BL
Van Nuys,BATTERY - SIMPLE ASSAULT,140901130,340,14700         VICTORY                      BL
Van Nuys,BATTERY - SIMPLE ASSAULT,140901131,340,14700         VICTORY                      BL
Van Nuys,BATTERY WITH SEXUAL CONTACT,140901132,340,14700         VICTORY                      BL
Van Nuys,TRAFFIC DR #,140915077,1,              KESTER                       AV
Van Nuys,VEHICLE - STOLEN,140915078,5, 5400         COLUMBUS                     AV
Van Nuys,SPOUSAL(COHAB) ABUSE - SIMPLE ASSAULT,140915085,30,14400         DICKENS                      ST
Van Nuys,BATTERY - SIMPLE ASSAULT,140915086,150,14300         FRIAR                        ST
Van Nuys,VEHICLE - STOLEN,140915090,45,              CAMARILLO
Van Nuys,TRAFFIC DR #,140915091,1040,              BURBANK                      BL
Van Nuys,TRAFFIC DR #,140915092,1215,              SEPULVEDA                    BL
Van Nuys,BATTERY - SIMPLE ASSAULT,140915098,1330,14200         GILMORE                      ST
Van Nuys,CRIMINAL THREATS - NO WEAPON DISPLAYED,140915103,1000, 4500         VAN NOORD                    AV
Van Nuys,TRAFFIC DR #,140915119,2150,              VESPER                       AV
Van Nuys,TRAFFIC DR #,140915121,1905,              VENTURA                      BL
Van Nuys,BATTERY - SIMPLE ASSAULT,140915124,2320, 7400         VAN NUYS                     BL
Van Nuys,TRAFFIC DR #,140915126,2200,              COLDWATER CANYON             AV
Van Nuys,TRESPASSING,140915128,2215,14700         ERWIN                        ST
